calculator,transposed,N_M_K,bnr_bnc,nthreads,clocks
native,no,8-8-8,0-0,0,7
native,no,8-8-8,0-0,0,12
native,no,8-8-8,0-0,0,7
native,no,8-8-8,0-0,0,7
native,no,8-8-8,0-0,0,7
native,no,16-16-16,0-0,0,58
native,no,16-16-16,0-0,0,57
native,no,16-16-16,0-0,0,58
native,no,16-16-16,0-0,0,57
native,no,16-16-16,0-0,0,59
native,no,32-32-32,0-0,0,210
native,no,32-32-32,0-0,0,196
native,no,32-32-32,0-0,0,195
native,no,32-32-32,0-0,0,208
native,no,32-32-32,0-0,0,200
native,no,64-64-64,0-0,0,1450
native,no,64-64-64,0-0,0,1589
native,no,64-64-64,0-0,0,1425
native,no,64-64-64,0-0,0,1458
native,no,64-64-64,0-0,0,1503
native,no,128-128-128,0-0,0,12819
native,no,128-128-128,0-0,0,12804
native,no,128-128-128,0-0,0,12539
native,no,128-128-128,0-0,0,13842
native,no,128-128-128,0-0,0,12867
native,no,256-256-256,0-0,0,111910
native,no,256-256-256,0-0,0,115299
native,no,256-256-256,0-0,0,121390
native,no,256-256-256,0-0,0,123737
native,no,256-256-256,0-0,0,111598
native,no,512-512-512,0-0,0,1267235
native,no,512-512-512,0-0,0,1053579
native,no,512-512-512,0-0,0,1247273
native,no,512-512-512,0-0,0,1003763
native,no,512-512-512,0-0,0,1116040
native,no,1024-1024-1024,0-0,0,12953543
native,no,1024-1024-1024,0-0,0,13507139
native,no,1024-1024-1024,0-0,0,13470958
native,no,1024-1024-1024,0-0,0,12517843
native,no,1024-1024-1024,0-0,0,14337590
native,yes,8-8-8,0-0,0,21
native,yes,8-8-8,0-0,0,11
native,yes,8-8-8,0-0,0,13
native,yes,8-8-8,0-0,0,13
native,yes,8-8-8,0-0,0,12
native,yes,16-16-16,0-0,0,68
native,yes,16-16-16,0-0,0,96
native,yes,16-16-16,0-0,0,69
native,yes,16-16-16,0-0,0,68
native,yes,16-16-16,0-0,0,69
native,yes,32-32-32,0-0,0,568
native,yes,32-32-32,0-0,0,717
native,yes,32-32-32,0-0,0,746
native,yes,32-32-32,0-0,0,568
native,yes,32-32-32,0-0,0,588
native,yes,64-64-64,0-0,0,4490
native,yes,64-64-64,0-0,0,4418
native,yes,64-64-64,0-0,0,4246
native,yes,64-64-64,0-0,0,4146
native,yes,64-64-64,0-0,0,4388
native,yes,128-128-128,0-0,0,29674
native,yes,128-128-128,0-0,0,14789
native,yes,128-128-128,0-0,0,14307
native,yes,128-128-128,0-0,0,14153
native,yes,128-128-128,0-0,0,12160
native,yes,256-256-256,0-0,0,102312
native,yes,256-256-256,0-0,0,71627
native,yes,256-256-256,0-0,0,71720
native,yes,256-256-256,0-0,0,71848
native,yes,256-256-256,0-0,0,72612
native,yes,512-512-512,0-0,0,591311
native,yes,512-512-512,0-0,0,579778
native,yes,512-512-512,0-0,0,593079
native,yes,512-512-512,0-0,0,650017
native,yes,512-512-512,0-0,0,596719
native,yes,1024-1024-1024,0-0,0,4882325
native,yes,1024-1024-1024,0-0,0,5070888
native,yes,1024-1024-1024,0-0,0,4823981
native,yes,1024-1024-1024,0-0,0,4713579
native,yes,1024-1024-1024,0-0,0,4742100
block,no,8-8-8,2-2,0,11
block,no,8-8-8,2-2,0,12
block,no,8-8-8,2-2,0,11
block,no,8-8-8,2-2,0,11
block,no,8-8-8,2-2,0,12
block,no,16-16-16,4-4,0,71
block,no,16-16-16,4-4,0,69
block,no,16-16-16,4-4,0,70
block,no,16-16-16,4-4,0,71
block,no,16-16-16,4-4,0,70
block,no,32-32-32,8-8,0,574
