type,N,clocks
tas,1,1535979
tas,1,1535359
tas,1,1505792
tas,1,1498293
tas,1,1573042
tas,1,1540001
tas,1,1636688
tas,2,2234043
tas,2,1971586
tas,2,2011335
tas,2,2073121
tas,2,1907325
tas,2,1934416
tas,2,1931613
tas,3,2408405
tas,3,2350147
tas,3,2362731
tas,3,2332165
tas,3,2363520
tas,3,2393519
tas,3,2387584
tas,4,2788472
tas,4,2662594
tas,4,2643317
tas,4,2813504
tas,4,2699835
tas,4,2796073
tas,4,2620460
tas,5,3095691
tas,5,3046196
tas,5,3055252
tas,5,3619737
tas,5,3814274
tas,5,3885665
tas,5,3824954
tas,6,4443850
tas,6,4417490
tas,6,4569037
tas,6,4442788
tas,6,4519544
tas,6,4618705
tas,6,4593682
tas,8,6028327
tas,8,5722654
tas,8,5573290
tas,8,5583994
tas,8,5675635
tas,8,5563207
tas,8,5572824
tas,10,6045248
tas,10,6599880
tas,10,6376039
tas,10,6966675
tas,10,6291854
tas,10,7108021
tas,10,6249237
tas,12,6524938
tas,12,8782389
tas,12,8019861
tas,12,7127529
tas,12,7946893
tas,12,7184267
tas,12,6824371
tas,14,7994745
tas,14,8350425
tas,14,7666660
tas,14,7047517
tas,14,10278215
tas,14,7820645
tas,14,7818081
tas,16,7760014
tas,16,8955885
tas,16,7301421
tas,16,9845941
tas,16,9925999
tas,16,9484136
tas,16,11253182
tas,18,10970904
tas,18,11540890
tas,18,9656187
tas,18,9964264
tas,18,10635175
tas,18,10434917
tas,18,11425800
tas,20,10894036
tas,20,11725806
tas,20,12447896
tas,20,13295888
tas,20,11108950
tas,20,13719264
tas,20,12116573
tas,22,13024665
tas,22,14744929
tas,22,14586833
tas,22,13670095
tas,22,15152960
tas,22,11969900
tas,22,14446450
tas,24,14357400
tas,24,13884299
tas,24,14693059
tas,24,14521054
tas,24,15736032
tas,24,14690448
tas,24,15233134
tas,26,15607223
tas,26,16442879
tas,26,14297936
tas,26,14939036
tas,26,15870421
tas,26,14706340
tas,26,15284284
tas,30,17654761
tas,30,18065235
tas,30,17034320
tas,30,18012959
tas,30,18460390
tas,30,17684763
tas,30,16983408
tas,34,20606099
tas,34,21270841
tas,34,21773280
tas,34,19722052
tas,34,20203975
tas,34,20819808
tas,34,18888971
tas,40,24080276
tas,40,24321315
tas,40,22977288
tas,40,24693838
tas,40,22358430
tas,40,24491592
tas,40,24345047
tas,45,24736336
tas,45,25648344
tas,45,24093090
tas,45,25279874
tas,45,25569374
tas,45,25687453
tas,45,26559349
tas,50,26704480
tas,50,28676526
tas,50,28104031
tas,50,27158017
tas,50,27496923
tas,50,27382609
tas,50,28864114
tas,55,29943923
tas,55,30793303
tas,55,29210391
tas,55,30613723
tas,55,30485547
tas,55,31642661
tas,55,30740387
tas,60,33939201
tas,60,31753248
tas,60,33751547
tas,60,33947769
tas,60,30955613
tas,60,29361986
tas,60,33543288
ticket,1,1797097
ticket,1,1595633
ticket,1,1600398
ticket,1,1634596
ticket,1,1594129
ticket,1,1583037
ticket,1,1932943
ticket,2,2252108
ticket,2,2173741
ticket,2,2117890
ticket,2,2092507
ticket,2,2073391
ticket,2,2106999
ticket,2,2078563
ticket,3,2496789
ticket,3,2627725
ticket,3,2666745
ticket,3,2625569
ticket,3,2626761
ticket,3,2627727
ticket,3,2621288
ticket,4,3011581
ticket,4,3214405
ticket,4,3191188
ticket,4,3214926
ticket,4,3448962
ticket,4,3234188
ticket,4,3295480
ticket,5,3959601
ticket,5,4491050
ticket,5,4227550
ticket,5,4044668
ticket,5,3860518
ticket,5,3924444
ticket,5,3928050
ticket,6,4234209
ticket,6,4528565
ticket,6,4526669
ticket,6,4480457
ticket,6,4496860
ticket,6,4427775
ticket,6,4788143
ticket,8,5400904
ticket,8,5799392
ticket,8,6331682
ticket,8,6890908
ticket,8,6262318
ticket,8,5589497
ticket,8,5487366
ticket,10,6165753
ticket,10,6768131
ticket,10,6407189
ticket,10,7017637
ticket,10,6099380
ticket,10,6764867
ticket,10,6089334
ticket,12,6739059
ticket,12,7275345
ticket,12,7710353
ticket,12,6602855
ticket,12,6461594
ticket,12,8603954
ticket,12,7401385
ticket,14,8841212
ticket,14,8470956
ticket,14,7938133
ticket,14,8405605
ticket,14,9551897
ticket,14,8326177
ticket,14,8920574
ticket,16,10200641
ticket,16,9832372
ticket,16,9030422
ticket,16,9708292
ticket,16,9613200
ticket,16,9825609
ticket,16,10933892
ticket,18,12552715
ticket,18,11524077
ticket,18,11305984
ticket,18,11431735
ticket,18,10630843
ticket,18,11409182
ticket,18,12068006
ticket,20,12964378
ticket,20,12793051
ticket,20,11908973
ticket,20,12886715
ticket,20,12126100
ticket,20,12685502
ticket,20,12111257
ticket,22,14554349
ticket,22,13384762
ticket,22,13300224
ticket,22,13997701
ticket,22,13251998
ticket,22,13933090
ticket,22,13689041
ticket,24,16442997
ticket,24,14999400
ticket,24,14997395
ticket,24,15272649
ticket,24,14832466
ticket,24,14640942
ticket,24,14794486
ticket,26,15326479
ticket,26,15687144
ticket,26,16559745
ticket,26,15321276
ticket,26,16013564
ticket,26,15152857
ticket,26,16578313
ticket,30,17431857
ticket,30,19400091
ticket,30,18588650
ticket,30,19091674
ticket,30,17334395
ticket,30,17853515
ticket,30,17470034
ticket,34,20599386
ticket,34,20465309
ticket,34,20153370
ticket,34,20514418
ticket,34,19896189
ticket,34,19822888
ticket,34,21022832
ticket,40,22071978
ticket,40,23244313
ticket,40,23679548
ticket,40,22937965
ticket,40,22852915
ticket,40,22781677
ticket,40,22598218
ticket,45,26299235
ticket,45,23761344
ticket,45,23605477
ticket,45,26987939
ticket,45,24589060
ticket,45,25470246
ticket,45,25522473
ticket,50,26925893
ticket,50,28827545
ticket,50,27619860
ticket,50,28800920
ticket,50,26655836
ticket,50,27115205
ticket,50,28227024
ticket,55,28513206
ticket,55,29282401
ticket,55,27853665
ticket,55,29670066
ticket,55,30166280
ticket,55,30573707
ticket,55,31204224
ticket,60,30984644
ticket,60,30774885
ticket,60,31901017
ticket,60,31441835
ticket,60,32539598
ticket,60,31945175
ticket,60,30628887
